,FOOD NAME,GROUP
726,Cream substitute,Baking goods
727,Dulce de leche,Confectioneries
728,Topping,Baking goods
729,Sweet custard,Confectioneries
730,Egg roll,Dishes
731,Heart of palm,Vegetables
732,Popcorn,Snack foods
733,Potato chip,Snack foods
734,Tortilla chip,Snack foods
735,Corn chip,Snack foods
736,Hibiscus tea,Teas
737,Stew,Dishes
738,Gelatin dessert,Confectioneries
739,Junket,Confectioneries
740,Falafel,Dishes
741,Frybread,Dishes
742,Other frozen dessert,Confectioneries
743,Lasagna,Dishes
744,Morchella (Morel),Vegetables
745,Pancake,Dishes
746,Pectin,Baking goods
747,Pudding,Confectioneries
748,Waffle,Dishes
749,Soy milk,Soy
750,Meatloaf,Dishes
751,Sake,Beverages
752,Cocktail,Beverages
753,Couscous,Dishes
754,Bulgur,Cereals and cereal products
755,Coffee substitute,Baking goods
756,Coffee mocha,Coffee and coffee products
757,Chimichanga,Dishes
758,Semolina,Cereals and cereal products
759,Tapioca pearl,Baking goods
760,Tostada,Dishes
761,Quesadilla,Dishes
762,Baked potato,Dishes
763,Hot dog,Dishes
764,Spread,Baking goods
765,Enchilada,Dishes
766,Egg substitute,Baking goods
767,Nutritional drink,Beverages
768,Other sandwich,Dishes
769,Ketchup,Baking goods
770,Breakfast sandwich,Dishes
771,Adobo,Baking goods
772,Macaroni and cheese,Dishes
773,Butterfat,Milk and milk products
774,Horned melon,Gourds
775,Hushpuppy,Dishes
776,Fruit juice,Beverages
777,Relish,Baking goods
778,Other fruit product,Fruits
779,Fruit salad,Fruits
780,Soy yogurt,Soy
781,Vegetarian food,Dishes
782,Veggie burger,Dishes
783,Cold cut,Dishes
784,Mixed nuts,Nuts
785,Canola,Herbs and spices
786,Babassu palm,Herbs and Spices
787,Cupuaçu,Herbs and Spices
788,Shea tree,Herbs and Spices
789,Oil-seed Camellia,Herbs and Spices
790,Ucuhuba,Herbs and Spices
791,Phyllo dough,Baking goods
792,Cooking oil,Baking goods
793,Pie crust,Baking goods
794,Pie filling,Baking goods
795,Pie,Confectioneries
796,Shortening,Fats and oils
797,Soy cream,Soy
798,Ice cream cone,Baking goods
799,Molasses,Baking goods
800,Cracker,Snack foods
801,Nance,Fruits
802,Naranjilla,Fruits
803,Natto,Soy
804,Ravioli,Dishes
805,Scrapple,Dishes
806,Other pasta dish,Dishes
807,Succotash,Dishes
808,Tamale,Dishes
809,Rice cake,Dishes
810,Tree fern,Vegetables
811,Evaporated milk,Milk and milk products
812,Flour,Cereals and cereal products
813,Akutaq,Confectioneries
814,Dough,Cereals and cereal products
815,Pita bread,Cereals and cereal products
816,Focaccia,Cereals and cereal products
817,Bagel,Cereals and cereal products
818,Other bread product,Cereals and cereal products
819,Piki bread,Cereals and cereal products
820,French toast,Cereals and cereal products
821,Wheat bread,Cereals and cereal products
822,Rye bread,Cereals and cereal products
823,Oat bread,Cereals and cereal products
824,Potato bread,Cereals and cereal products
825,Cornbread,Cereals and cereal products
826,Corn grits,Cereals and cereal products
827,Multigrain bread,Cereals and cereal products
828,Rice bread,Cereals and cereal products
829,Pan dulce,Cereals and cereal products
830,Raisin bread,Cereals and cereal products
831,Wonton wrapper,Baking goods
832,Trail mix,Snack foods
833,Greenthread tea,Teas
834,Fruit-flavor drink,Beverages
835,Vegetable juice,Beverages
836,Horchata,Beverages
837,Soft drink,Beverages
838,Frozen yogurt,Confectioneries
839,Milkshake,Confectioneries
840,Chocolate mousse,Confectioneries
841,Dripping,Fats and oils
842,Pupusa,Dishes
843,Empanada,Dishes
844,Arepa,Dishes
845,Ascidians,Aquatic foods
846,Gefilte fish,Dishes
847,Yellow pond-lily,Herbs and Spices
848,Fish burger,Dishes
849,Other dish,Dishes
850,Pot pie,Dishes
851,Stuffing,Baking goods
852,Edible shell,Baking goods
853,Fudge,Confectioneries
854,Candy bar,Confectioneries
855,Condensed milk,Milk and milk products
856,Margarine,Fats and oils
857,Margarine-like spread,Fats and oils
858,Hummus,Dishes
859,Potato puffs,Dishes
860,Potato gratin,Dishes
861,Milk substitute,Baking goods
862,Pepper (C. pubescens),Vegetables
863,Soft-necked garlic,Herbs and Spices
864,Cabbage,Vegetables
865,Chinese bayberry,Fruits
866,Mushrooms,Vegetables
867,Alcoholic beverages,Beverages
868,Onion-family vegetables,Vegetables
